Page,Family,EnglishCommon,LatinSpecies,Length,Voice,
195,Vireolaniidae,Green Shrike-Vireo,Smaragdolanius pulchellus,5-6in,"A repetitious chant, ""tew-tew-tew-tew"" on same pitch, repeated at intervals. Suggests Tufted Titmouse, a repetitious *peter-peter-peter-peter*.",
195,Vireonidae,Cozumel Vireo,Vireo bairdi,4.5in,Suggests White-eyed Vireo's in character.,
196,Vireonidae,Mangrove Vireo,Vireo pallens,4-4.75in,"A loud repetitious ""che-che-che-che-che"", etc., or ""jeer-jeer-jeer-jeer"", etc.",
195,Vireonidae,Golden Vireo,Vireo hypochryseus,5-5.5in,"Song, a rapid, rather high ""chu-chu-chu-chu-chu-chu-chu-chu"" on 1 pitch.",the ize info just says 5-.5; this is how I interpret it
198,Vireonidae,Yellow-Green Vireo,Vireo flavoviridis,5-6.75in,Song similar to Red-eyed Vireo's but phrases shorter; longer pauses between phrases.,
198,Vireonidae,Yucatan Vireo,Vireo magister,6in,Song much like Red-eyed Vireo's but phrases more abrupt. Phrases consist of 2 or 3 ntes.,
199,Vireonidae,Brown-capped Vireo,Vireo leucophrys,4.5in,"Song warbled as in Warbling Vireo, but shorter, less varied: ""cheerooroowee'chee-chee'weerooweeche-cheereechee""; also ""twe'cheeweechee"", thrice repeated.","says ""(or V. gilvus in part)"""
199,Vireonidae,Slaty Vireo,Neochloe brevipennis,4.5in,"Song, 3-5 ntes, suggesting White-eyed Vireo, emphasis on 3rd or 4th note.",
200,Vireonidae,Tawny-crowned Greenlet,Hylophilus ochraceiceps,4.5in,"A constantly uttered ""nya-nya"" and a more nasal vireo-nine ""weng"". Song, an ascending trill followed by a single lower-pitched note.",vireo-nine? Vireo-like??
200,Vireonidae,Lesser (Gray-headed) Greenlet,Hylophilus decurtatus,3.5-4in,"Song resembles a singe repeated phrase of Red-eyed Vireo, but higher-pitched; phrases more widely spaced. Usually a 3-note phrase repeated: ""tsitseeweet"" and ""itsacheet"" sometimes ""tsiweet"".",
201,Coerebidae,Red-legged (Blue) Honeycreeper,Cyanerpes cyaneus,4-5in,"A sharp ""tswe"". Song, a simple, deliberate and protracted ""tsip-tsip-chaa-tsip-tsip-tsic-cha"", etc.. Note, a weak, nasal ""chaa"", suggestive of gnatcatcher.",
201,Coerebidae,Green Honeycreeper,Chlorophanes spiza,5-5.5in,"A loud, strident ""tswee tswee"". Song a tirelessly repeated ""tsip"" given rapidly. A short nasal grunt, ""uhr"".",
202,Coerebidae,Bananaquit,Coereba flaveloa,3.25-4in,"Song, lisping and wheezy, varying geographically. A rising ""sisisisi""; also ""wiz wiz wiz sisisisi"".",
204,Parulidae,Crescent-chested (Spot-breasted) Warbler,Vermivora superciliosa,4-4.75in,"An often repeated song, ""tcherrrrrrrrrr"", about 1 second in length.",
204,Parulidae,Tropical Parula,Parula pitiayumi,4.5in,Nearly identical with Northern Parula's song.,"says ""(including Socorro Warbler)"""
205,Parulidae,Golden Warbler,Dendroica petechia,4.5in,"Song, in W. Indies, a sprightly ""wee-chee-wee-chee-chee-wur"" with many variations. More full-voiced than N. American Yellow Warbler.",
211,Parulidae,Gray-crowned Yellowthroat (Ground-chat),Geothlypis (Chamaethlypis) poliocephala,5-5.5in,"Song, a buntinglike ""twe twe twe weechy weechy wit a twit weechy a weech"". Usual song, a number of undistinctive vireolike phrases strung together.",
212,Parulidae,Red-breasted Chat,Granatellus venustus,6in,"Variations of ""chee-a-weep, chee-a-weep, chee-a-weep, chink chink chink chink"". Or ""chee-a-weep"" (4 times), ""zeep, zeep"".",
212,Parulidae,Gray-throated Chat,Granatellus sallaei,5in,A buntinglike song.,
213,Parulidae,Red-faced Warbler,Cardellina rubrifrons,5in,A clear sweet song similar to Yellow Warbler's.,
213,Parulidae,Painted Redstart,Myioborus picta,5in,"Song, a repetitious ""weeta weeta weeta wee"" or ""weeta weeta chilp chilp chilp"". Note, an unwarblerlike ""clee-ip"".",
214,Parulidae,Slate-throated Redstart,Myioborus miniatus,5in,"Song, a series of rapid notes repeated 5-8 times: ""chee chee chee chee chee chee"". Also ""tsewe, tsewe, tsewe, chee chee chee"". Also a rising ""whi-cha, whi-cha, whi-cha, whi-cha"".",
214,Parulidae,Fan-tailed Warbler,Euthlypis lachrymosa,5.5-6in,"Call note, ""tseeng"". Song, ""we we we we whicha weest"". Also ""we we whicha"".",
214,Parulidae,Red Warbler,Ergaticus ruber,5in,"Note, ""p-seet"". Song, ""cha cha cha see see see cha cha cha see""; ""cha""'s on same pitch, ""see""'s higher.",
215,Parulidae,Golden-crowned Warbler,Basileuterus culicivorus,4.5-5in,"Song, about 6 clear whistled notes, first 3 on same pitch, the next higher, the next lower, the last note at original pitch: ""twee twee twee twee twee twee"".",graphic presentation of pitch height (!!) the fourth is higher and the fifth is lower in the text
215,Parulidae,Golden-browed (Bell's) Warbler,Basileuterus belli,5in,"Song, ""wit-ah-witah-weechy"".",
215,Parulidae,Rufous-capped Warbler,Basileuterus rufifrons,4.5-5in,"Note, ""tzep"". Song rises from beginning and accelerates: ""cheap cheap cheap chi-chi-chi-chi""; sometimes order reversed. Song short and canarylike.",
216,Parulidae,Chestnut-capped (Delattre's) Warbler,Basileuterus delatrii,4.5-5in,"Song, ""tsit-sit, tseetweet""; also a dry """"chit-cha-chup-chachaweep"". Also calls ""zeep-zeep"" and a rather dry trill ""trrrrr"".","says ""(or B. rufifrons in part)"""
217,Icteridae,Chestnut-headed (Wagler's) Oropendola,Zarhynchus wagleri,"M 3-14in, F 9.5-11in","An unmusical ""jiva jiva jiva jura glu glu glom glom glom glu"", ending in a rattle. A series of gurgling notes, ""plup, plup, plup, plup-loo-u'poo"".",
217,Icteridae,Montezuma Oropendola,Gymnostinops montezuma,"M 20in, F 15in","Song, during display, sounds like water pouring out of a bottle; 5-7 liquid ""glub""'s or ""gloob""'s, getting higher and faster. ""Khruk, khruk, glug, glug, glug-glug-glugloogloog-kacheer'"".",
217,Icteridae,Yellow-winged (Mexican) Cacique,Cassiculus melanicterus,11.5in,"Discordant, creaking: ""kruk, kruk, ksh-shee-ah"" or, by a stretch of the imagination, ""ca-seek-eh"" - Spanish pronunciation of 'cacique'.",
218,Icteridae,Yellow-billed Cacique,Amblycercus holosericeus,7.5-10in,"Harsh notes, usually double: ""wahk-wahk"" or ""wahk-chowh-chowh"" (female?). Also whistling notes, perhaps given by male.",
218,Icteridae,Giant Cowbird,Scaphidura oryzivora,"M 13.5in, F 11.5in","A guttural ""waird"" accompanied by a very high-pitched ""weessss"" given 3-4 times.",
219,Icteridae,Great-tailed Grackle,Cassidix mexicanus,"M 17in, F 13in","Various excited, shrill, discordant notes, including a high, rapid ""kee-kee-kee-kee-kee"", etc., or ""kik-kik-kik-kik"", etc.; a lower blackbird ""check, check"". Also an upward slurring ""ma-ree"".",
220,Icteridae,Melodious Blackbird,Dives dives,10-11in,"A variety of whistles like *what cheer* (given 2 or 3 times). Also *to weer to weer*; *will you chow-how*; *one-year one-year*. ""Chuck, wheeeur chuck, wheeeur""; also a thin down-slurred ""cheeurrr, cheeurrr"", etc.",
220,Icteridae,Orchard Oriole,Icterus spurius,6-7.25in,"Song, a fast-moving outburst of piping whistles, guttural notes; unlike abrupt piping of most orioles. A strident slurred *what-cheer* or ""wheer"", at or near end.",
221,Icteridae,Black-cowled Oriole,Icterus prosthemelas,8in,"Song, a series of melodious whistles. Call suggestive of House Sparrow, rather nasal and monotonous.",
221,Icteridae,Scott's Oriole,Icterus parisorum,7.25-8.25in,"Song, rich whistles; suggests Western Meadowlark.",
222,Icteridae,Hooded Oriole,Icterus cucullatus,7-7.75in,"Song, throaty notes and piping whistles: ""chut chut chut whew whew"". Note, a sharp ""eek"".",
222,Icteridae,Yellow-tailed Oriole,Icterus mesomelas,8-9in,"A loud clear whistle of 2 phrases, repeated: ""chee-wow, chee-wow"" or ""gee-wow, gee-wow"". A loud repetitious chant: ""wur-chip-chewoo, wur-chip-chewoo, wur-chip-chewoo"", etc.",
223,Icteridae,Yellow-backed Oriole,Icterus chrysater,8-9in,"Song (in Panamá), 6-14 loud clear whistles, moving irregularly up and down scale, giving impression of being off-key. A frequent call is ""teea, cheep-cheep-cheep, tee""; 1st and last notes whistled, others nasal.",
223,Icteridae,Black-headed Oriole,Icterus graduacauda,9in,"Song, low whistled notes of human quality, disjointed with halftones; suggests a boy learning to whistle.",
224,Icteridae,Altamira (Black-throated) Oriole,Icterus gularis,8.5-10in,"A harsh rasping 'fuss' note, ""ike-ike-ike"". Song, disjointed whistled notes.",
224,Icteridae,Baltimore Oriole,Icterus galbula,7-8in,"Song, a series of rich, piping whistled notes. Note, a low mellow whistled ""hew-li"".",
224,Icteridae,Bullock's Oriole,Icterus bullockii,7-8.5in,"A series of accented double notes with 1 or 2 piping notes. Note, a sharp ""kip""; also a chatter.","species mentions: ""(or I. galbula in part)"""
225,Icteridae,Streak-backed Oriole,Icterus sclateri,8in,"A poor vocalist; oriole-like musical chirps; a wrenlike rattle, a rapid, dry meadowlarklike chatter.",
227,Thraupidae,Blue-crowned Chlorophonia,Chlorophonia occipitalis,4.5-5.5in,"Note (in Costa Rica), a mournful, short dovelike ""oo"", often repeated one or more times; ventriloquial; sometmes given by two birds in duet. Also a short ""ek"". In Panamá, a fast puppylike ""enk-enk-enk-enk"".",
228,Thraupidae,Blue-hooded Euphonia,Euphonia elegantissima,4-5in,"Call, ""chup"" or ""dyewp"". Song, an irregular sputtering or twittering series with some musical undertones. One song suggests complex song of Winter Wren.",
228,Thraupidae,White-vented Euphonia,Euphonia minuta,3.5-4in,"Calls, ""wee'-chup""; also ""weet-tsick"" and ""tsick-tsick"".",
229,Thraupidae,Scrub Euphonia,Euphonia affinis,3.5-4.5in,"A thin, musical 3-syllable whistle at a level pitch; a vireolike ""wheet-chichi-chi-chih""; a high-pitched ""see-see-see, dewd-see"".",
229,Thraupidae,Yellow-throated Euphonia,Euphonia hirundinacea,4-4.5in,"A short whistle, rapidly repeated 2 or 3 times, sometimes clear and bell-like.","species also says ""(=lauta)"""
229,Thraupidae,Olive-backed Euphonia,Euphonia gouldi,3.75in,"An unmusical jumble of sharp notes, including a soft trill.",
230,Thraupidae,Masked Tanager,Tangara larvata,4.5-5.25in,"A weak trill (1 second), ""tsiriririririririt"", weaker and shorter than trill of Chipping Sparrow.",
230,Thraupidae,Azure-rumped Tanager,Tangara cabanisi,5.75in,A series of metallic chipping notes.,
230,Thraupidae,Blue-gray (Blue) Tanager,Thraupis episcopus,5.5-6.5in,"Song, varied and intricate phrases, but tone weak and squeaky. Suggests one of songs of American Redstart. Calls, ""chueep"" and ""seeee"".",
231,Thraupidae,Yellow-winged Tanager,Thraupis abbas,6-7in,"A series of strong chips suggesting Chipping Sparrow; very metallic and rapid: ""chi-chi-chi"", etc., or ""chill-chill-chill"", etc.. Cll, a long ""seeeeeet"".",
231,Thraupidae,Stripe-headed Tanager,Spindalis zena,6-8in,"Song, a prolonged but weak warble, seldom heard. Call note, a drawn-out ""seep"".",
231,Thraupidae,Scarlet-rumped Tanager,Ramphocelus passerinii,6.5in,"Song, loosely connected robin- or vireolike inconsequential phrases. Notes, a confidential ""hist"", and a throaty ""churr"".",
231,Thraupidae,Crimson-collared Tanager,Phlogothraupis sanguinolenta,6-7.5in,"""Tze-tze-tsweze"", or ""tswe-twe"", or ""twsizee"".",
232,Thraupidae,Stripe-backed (Flame-colored) Tanager,Piranga bidentata,6-7.5in,"Song, vireolike with a burr in it. Call note, ""purrrrrit"". Song with short burry phrases similar to those of Scarlet or Western Tanagers.",
233,Thraupidae,White-winged Tanager,Piranga leucoptera,6in,"Call, ""tsupeet-peet""; also ""seetseesee"".",
233,Thraupidae,Red-crowned Ant-tanager,Habia rubica,6-7in,"Song, ""chu - cheeah - chu - cheeah - chu - cheaah"". ""Cheer-cheer-cheer-cheer"" or ""purtee'-pirtee'-pirtee'-pirtee'""; the 2 types sometimes combined. Short whistled phrases ""cheer chur, cheer chur"" or ""cheer chur-chur"".",
234,Thraupidae,Red-throated Ant-tanager,Habia fuscicauda,7-8in,"Song, a sequence of paired notes, rising in pitch with each couplet. A robinlike ""chew-chew"", given 1-4 times.",
234,Thraupidae,Black-throated Shrike-tanager,Lanio aurantius,6.5-8in,"Noisy; ""stchee"", followed by 4 rich descending ""chee""'s, ending with several ""chee""'s on a level.",
234,Thraupidae,Gray-headed Tanager,Eucometis penicillata,6-7in,"A gifted singer. Song sweet and appealing: ""whichis whichis whicheery whichis whichu"" etc.",
235,Thraupidae,Rosy (Rose-breasted) Thrush-tanager,Rhodinocichla rosea,8in,"Song, wrenlike, 4-noted: ""wee, choohoo chyo"" or ""chee chyo, choyo"".",
235,Thraupidae,Common Bush-Tanager,Chlorospingus ophthalmicus,5-5.75in,"Notes while feeding, thin, grasshopperlike.",
236,Fringillidae,Black-headed Saltator,Saltator atriceps,10in,"Note, ""chib"". Song, a rapid ""chib-che-wab-ah-wab-ah-wab-ah-wab"". 1 or 2 deliberat smacking notes followed by a rapid, uneven, grating series, ""chack, chack, tch-ch-ch-ch-ch-chur"".",
236,Fringillidae,Buff-throated Saltator,Saltator maximus,7-8.5in,"Song often suggests some species of robin. *Cheery cheery* answered by *cheer to you*, delivered with falling cadence. Also ""trale le-e-le, trale'le-e-le"", etc.",
236,Fringillidae,Grayish Saltator,Saltator coerulescens,8in,"Song, ""chip, chup chup, oid"" (""chip"" is sometimes left out; ""woid"" is drawn out and rises). Also ""crrrrr cheechu cheechu cheechuuu""; and ""chip weed"". A musical ""chirp-wheee"" (rising) often followed by an uneven ""tsur-wewewewe-chew"".",
237,Fringillidae,Black-faced Grosbeak,Caryothraustes poliogaster,6.5-8in,"A descending whistle, ""chi-cha-cha"". Cal, a sharp, short ""pwtst chirp-chirp-chirp"". Song, a musical ""churtweet' churtweet' churtweet'"" in a leisurely manner. A short buzz followed by a whistled ""tweet tweet"".",
237,Fringillidae,Pyrrhuloxia,Pyrrhuloxia sinuata,7.5-8.25in,"Song, a clear ""quink quink quink, quink quink"", on 1 pitch: aso a slurred, whistled ""what-cheer, what-cheer"", etc., thinner and shorter than Cardinal's song.",
238,Fringillidae,Yellow Grosbeak,Pheucticus chrysopeplus,8-9in,"Song very much like that of a robin. Suggests mellow rising and falling passages of Rose-breasted or Black-headed Grosbeak, but more rapid.",
239,Fringillidae,Blue Bunting,Cyanocompsa parellina,5in,"Song (Honduras), a whistled ""whreet-whreet-wheet-weet-weet"".",
239,Fringillidae,Blue-black Grosbeak,Cyanocompsa cyanoides,6-6.5in,"Note, ""klick"" or ""klink"". Song variable; a loud series of about 7 clear whistled notes (1st low, next 5 starting high and descending, last note high); 4-8 deliberate strong mellow whistles often followed by a softer, rapid, breezy flourish or twitter.",
240,Fringillidae,Varied Bunting,Passerina versicolor,4.5-5.5in,"A thin bright finch song, more distinctly phrased and less warbled than Painted Bunting's; notes not so distinctly paired as insongs of Lazuli or Indigo Buntings.",
240,Fringillidae,Orange-breasted Bunting,Passerina leclancherii,5in,"A clear ""wheat-cheeweet-cheat"" (rising on last note); or ""wheat-cheeweet""; or ""wheat-cheeweet-cheat-cheat"".",
241,Fringillidae,Yellow-faced Grassquit,Tiaris olivacea,4-4.5in,"Note, ""tzzip"". Song, an insectlike buzz, ""tsi-tsi-tsi-tsi-tsi""; in W. Indies a weak, rapidly uttered trill, like that of a Worm-eating Warbler.",
241,Fringillidae,White-collared Seedeater,Sporophila torqueola,4-4.5in,"A sweet, loud song; begins on several high repeated notes and drops to several notes on a lower pitc: *sweet sweet sweet, cheer cheer cheer cheer*; often only 2 ""cheer""'s. A canarylike song often ending with ""chip-chip-chip"". Variations include ""chee-wee, che-wee, che-wee, wiz-wiz-wiz-wiz"" etc.",
242,Fringillidae,Variable (Black) Seedeater,Sporophila aurita (corvina),4.5-5in,"Calls, a sweet ""see'oo"" or ""sleeoo"" and ""tse'wee"" and ""tseeyp"". Song, a rapid hurried twittering. Song disordered; very different from patterned song of White-collared Seedeater.",
242,Fringillidae,Ruddy-breasted Seedeater,Sporophila minuta,3.25-4in,"Song, canarylike, tinkling; sometimes ending with ""buzz-zee"". Also ""wheat-wheat-wheat-wheat"" etc. (4-7 times) often ending with ""chee"".",
242,Fringillidae,Thick-billed Seed-finch,Oryzoborus funereus,4.5-5.25in,"A fine, long-continued, buntinglike song. Call note, ""ik"" or ""ek"".",
243,Fringillidae,Blue-black Grassquit,Volatinia jacarina,4in,"A very short song, ""weezit"", given as the bird jumps a foot or two above perch and returns.",
244,Fringillidae,Grassland Yellow-finch,Sicalis luteola,4.5in,"Notes suggest Horned Lark, ""tsi tsip tsi tsip"" or ""tsi silp tsi silp"". In flight adds a ""bzzzzzzzzzz"".",
244,Fringillidae,Rufous-capped Brush-finch,Atlapetes pileatus,5.75in,"A clear whistled ""soo-sweet, chip chip chip"".",
245,Fringillidae,Chestnut-capped Brush-finch,Atlapetes brunneinucha,7.5in,"Call, a high-pitched ""zeet""; song, a series of high-pitched notes.",
246,Fringillidae,Orange-billed Sparrow,Arremon aurantiirostris,6-6.5in,"Song, a slow, very high-pitched thin ""ts, ts, ts, ts, ts""; also ""tsit, tseedeedsteetseet"". Note, ""dzeet"", also a sharp ""tzick"".",
246,Fringillidae,Olive Sparrow,Arremonops rufivirgatus,5.5-6in,"Song, a series of dry chips on 1 pitch, starting deliberately and accelerating into a rattle.",
246,Fringillidae,Green-backed Sparrow,Arremonops chloronotus,5.5in,"Song, a series of notes resembling *peter-peter-peter* of Tuftd Titmouse, but trailing off at end.",
247,Fringillidae,Brown Towhee,Pipilo fuscus,7.5-9.5in,"Note, a metallic ""chink"". Song, a rapid ""chink-chink-ink-ink-ink-ink-ink-ink"", on 1 pitch. Often ends in a trill. Sometimes ""chilp-chilp-chilp-chilp-chilp-chilp""; other variations.",
248,Fringillidae,White-faced (Prevost's) Ground-sparrow,Melozone biarcuatum,6-6.5in,"A rapid series of chirping ""chep""'s.",
249,Fringillidae,White-eared Ground-sparrow,Melozone leucotis,6.5-7in,A sibilant note repeated 5-15 times in a series that begins weakly and fades as it ends.,
250,Fringillidae,Sierra Madre Sparrow,Xenospiza baileyi,5in,"Song, 7-8 short syllables followed by 2 melodic notes.",
250,Fringillidae,Five-striped Sparrow,Aimophila quinquestriata,5.5-5.75in,"Variable; ""slip-tip-tip"" followed by chipping.",
251,Fringillidae,Bridled Sparrow,Aimophila mystacalis,6in,"An excited song, like 2 birds fighting.",
251,Fringillidae,Black-chested Sparrow,Aimophila humeralis,6in,"""Wheesk - wheesk, wheesk, wheesk"".",
251,Fringillidae,Stripe-headed Sparrow,Aimophila ruficauda,6-7in,"A hoarse chipping. Song, ""zup-a-tzip-a-tzip-a-tzip-a"".",
251,Fringillidae,Rufous-winged Sparrow,Aimophila carpalis,5-5.5in,"Song, a clear ""chip chip chip"" and then a short trill on a lower key; 1 or 2 sweet introductory notes and a rapid series of musical chips on 1 pitch.",
252,Fringillidae,Cinnamon-tailed (Sumichrast's) Sparrow,Aimophila sumichrasti,6.25-6.5in,"A loud, penetrating squeaking and chipping.",
252,Fringillidae,Rusty Sparrow,Aimophila rufescens,6.75in-7.5in,"Song, a bright, accented ""chu-we, chip-chip""; also ""chi-chip, ti-ti-ti-you"".",
253,Fringillidae,Rufous-crowned Sparrow,Aimophila ruficeps,5-6.25in,"Song, stuttering and gurgling, 1st part ascending slightly, last notes descending; suggests House-Wren. Note, a nasal ""chur, chur, chur"" or ""dear, dear, dear"".",
253,Fringillidae,Botteri's Sparrow,Aimophila botterii,5-6in,"Song, a constant tinkling and 'pitting', sometimes running into a dry rattle.",
256,Fringillidae,Rufous-collared (Andean) Sparrow,Zonotrichia capensis,5-6in,"A cheerful whistled arrangement; one of the most characteristic bird songs of Mid. and S. America, often varying locally. 'Suggests E. Meadowlark'. In Guatemala a typical song consists of 3 whistled notes, the 1st short with a rising inflection, the 2nd longer and dropping, the 3rd like the 1st. In Panamá song somewhat suggests E. Meadowlark ""tee'oo tee'a"" and variations.",
257,Fringillidae,Yellow-eyed Junco,Junco phaeonotus,6-6.5in,"Song musical, unlike trill or other juncos, more complicated; 3-parted, often thus: ""chip chip chip, wheedle wheedle, che che che che che"".",
258,Fringillidae,Hooded Grosbeak,Hesperiphona abeilli,6-7in,"Call, ""beebink"" or ""bree-bink"" or ""bre-bruk"" or ""beet beet"". A variation is ""bee-bink-beeaw"" - 1st 2 notes on te same pitch, 3rd note starting high and sliding down.",
259,Fringillidae,Black-capped Siskin,Spinus atriceps,4.5in,Very similar to Pine Siskin's. Calls similar to those of American Goldfinch.,