Word,Frequency
brilliant,112
rich,98
dark,84
full,71
bright,65
nasal,61
clear,58
sonorous,55
thin,55
penetrating,55
soft,45
dry,44
warm,43
mellow,41
piercing,41
powerful,41
hard,36
dull,34
noble,34
resonant,34
metallic,30
heavy,28
reedy,28
shrill,28
smooth,27
thick,26
open,24
deep,23
sweet,23
round,22
weak,22
biting,21
expressive,21
hollow,21
melancholic,21
somber,21
voice-like,21
flute-like,20
rough,20
pure,19
intense,18
strong,18
veiled,18
charming,17
incisive,17
light,17
brittle,15
mysterious,15
sharp,15
bell-like,14